Date,Open,High,Low,Close
2014-12-30,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-01-02,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-01-05,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-01-07,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-01-08,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-01-09,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-01-12,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-01-13,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-01-14,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-01-15,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-01-16,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-01-19,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-01-20,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-01-21,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-01-22,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-01-23,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-01-26,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-01-27,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-01-28,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-01-29,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-01-30,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-02-02,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-02-03,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-02-04,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-02-05,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-02-06,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-02-09,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-02-10,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-02-11,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-02-12,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-02-13,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-02-16,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-02-17,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-02-18,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-02-19,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-02-20,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-02-23,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-02-24,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-02-25,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-02-26,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-02-27,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-03-02,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-03-03,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-03-04,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-03-05,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-03-06,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-03-09,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-03-10,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-03-11,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-03-12,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-03-13,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-03-16,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-03-17,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-03-18,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-03-19,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-03-20,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-03-23,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
2015-03-24,25.920114517211914,25.920114517211914,25.920114517211914,25.920114517211914
